DEPT_CODE,DEPT_NAME,YYYY,GDP(Bill)(COP),GDP(COP),SECTOR,SECTOR_ID
91,AMAZONAS,2011,28,28000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2012,33,33000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2013,34,34000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2014,38,38000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2015,40,40000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
91,AMAZONAS,2016p,41,41000000000,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2000,6434,6.434E+12,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2001,6963,6.963E+12,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2002,7309,7.309E+12,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2003,7898,7.898E+12,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2004,8782,8.782E+12,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2005,9704,9.704E+12,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2006,10807,1.0807E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2007,12069,1.2069E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2008,13443,1.3443E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2009,14324,1.4324E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2010,15526,1.5526E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2011,17165,1.7165E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2012,18664,1.8664E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2013,19900,1.99E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
5,ANTIOQUIA,2014,21620,2.162E+13,ACTIVIDADES FINANCIERAS INMOBILIARIAS EMPRESARIALES Y COMUNICACIONES,S01
